,US,GB,DE,IT,AU,BE,CH,NL,LU,JP,ZW,ZC,BR,CA,ES,BM,SE,FR,IE,HK,AT,IN,PK,FI,IS,DD,NO,YU,XX,ID,RO,BB,PH,AN,MP,ZA,PT,GR,SG,KN,TH,TT,DK,NZ,NC,KE,AR,MG,RE,PL,CM,MU,PF,DO,BS,JM,CR,TW,MO,CN,KR,CO,VE,EC,PA,HN,PE,LC,GU,CI,VU,KY,MQ,AG,MX,GP,CK,HT,GF,UM,MM,FJ,HU,TR,NG,PG,SV,GT,SR,MT,SZ,IR,CL,BO,VG,UY,PY,MS,PW,SA,AW,LK,SC,MY,AE,nan,IL,MC,IQ,BH,CY,JO,KW,LB,GI,QA,SN,OM,CU,LI,SU,AS,ML,CZ,KP,WS,NI,GH,SB,DM,RU,BG,UG,RW,VI,PR,GA,TZ,GD,SK,MA,GY,EG,HR,AD,SI,LV,VN,ET,AZ,CG,TG,BN,AM,AI,BZ,MK,EE,TM,KZ,UA,BJ,ZM,GE,BW,MV,BD,FM,KH,SY,LT,TN,VA,NP,JE,BI,SL,DZ,TC,KG,FO,CS,BY,LA,MR,VC,GN,WF,SD,MD,GL,AO,RS,CD,UZ,BA,ME,AL,NF,CV,TJ,LR,MZ,SO,YE,MF,NE,SX,GQ,CW,MW,LY,DJ,KI,PC,LS,HM,BT,EH,GM,CF,ST,FK,BF,TK,KM,IO,TD,XV,NR,AF,MN,ER,GG,SH,NT,SM,IM,CX,TO,HS,BQ,CP,TF,YT,TV,BL,MH,PM,TL,KV
Acipenser,125823175,5971185,689447446,6679606,8951265,816838,3950734426,344022,70910,9685984,11,0,61001,2211081,1837790,2119,3150191,1904234,679,471682538,278226964,36682,2,9307434,17382,0,420509,0,1314189,54166,130549,5502,79028,3129,0,137917,21467,212293,5640611,0,2217854,107,197731,189175,7964,29478,215552,795006,16479,916244,2777,132810,82507,3481,12390,184,954,3158824,695015,314056813,2209219,241511,7542,518,23774,2056355,339,3137,0,3187,0,6066,27,248,6704327,13,0,13,0,0,46099,501,258668,288535,38,0,71,998,0,1283,6,1141387,649481,2,7,2580196,79,0,0,1907350,354,340,12711,13222177,34660698,0,806715,44881,213554,6088,4902723,21076,10654675,320207,500,136884,7983,112934,0,1,0,0,72,354511,19798,0,0,3661,0,0,15443077,167237,0,0,0,223,6593,0,1,104151,91453,0,3583,3605,42013,26092,608798,11621276,140,663869,3119,20,34682,1817810,0,0,65,18195,124039,160763,1012709,3,0,1506501,0,9691,3,0,3855,9099,135425,1405,27,150,5,0,0,244,1,195100,31,10000,162339,20,3,44,4,161,0,2564976,148,2050,707410,90,130,1099,8132,340,0,0,144,0,0,0,0,86,2,300,0,15,0,170173,2,0,0,0,0,0,5,0,0,0,25,1,21,0,0,0,61944,0,53102,55266,0,0,0,0,247,15,0,0,0,451,0,0,0,0,597,0,11,0,0
Aloe,47086066,17130372,9053725,3949406,761960,1529574,2112435812,6734727,8209,11377831,1413,4,58169,4250795,526860,357,228064,6704490,2338266,29702630,2245150,624623,80597,79233,6287,298,355893,525,821027,129053,1273,2584,7425,1089,27,264831,17099,24888,111762,266,505890,1080,1678434,37402,307,79424,5272549,1081,6971,3364576,65,3635460,1231,83089,731,35,23887,762714,86398,35596567,3111477,5889,1406,1,417,595,1730,7,0,990,0,1848,2515,537,608042,2835,0,3,1075,0,545,0,7785277,704907,32459,0,346,9862,3090,601334,9508,572,90173,0,6,1037,1907,0,0,66007,7093,49238,693,613482,24224038,0,6182252,2032828,39493,3458,6084,3133,23689,25227,500,10571746,870,5938,0,0,0,0,0,20519,25776,0,9492,121985,0,0,915310,3537593,210,0,0,0,107,67102,0,1843,7436,5,46669,15980,0,20853,11882,31421,14,6955,12,20,2336,24254,354,64226,13246,595318,1318,13500,109552,7,1432,4600,477,4478,0,0,0,0,3668,4489,0,160,0,0,8117,438,32,53,829,0,130132,0,225,0,2520338,0,0,6483,0,150,22347,23,503,14794,11163,7453,0,80,175,0,3340,0,0,20,0,1994,0,1400,6,120,0,0,0,0,0,0,0,0,0,0,0,71,0,588,0,12,0,0,16993,745,0,0,0,0,0,0,0,0,0,509,0,0,9678,0,0,0,0,0,7671
Cymbidium,7858376,275544,414944,617659,73970,30633,787757,186829,3368,12916495,1397,2586,34127,74871,49022,532,73537,495596,647,5697879,239342,274311,284,5713,161,250,53638,2009,93321,1177,85,244,17331,791,4,158579,35740,13902,53387,10,167099,3078,42343,96481,1596,2665,4580,789,75684,4894,9,1748,1,13872,3791,2100,18151,773055,69,44119508,497938674,8517,625,5308,27,0,542,180,93,64,10,165,976,220,135170,991,5,880,359,0,0,2060,13569,40320,180,17,419,39853,784,857,2935,393,269436,0,0,380,0,0,10,3247,468,1490,39,20905,6830,0,10971,2,7993,507,5350,3774,3599,14108,434,999,2,96,50,0,560,0,0,2155,106175,879,1,416,0,6,38967,50,103,0,0,356,4,386,371,360,1566,24,62,17770,0,364,0,9473932,0,2778,22,0,826,189,0,748,1157,142,100,2698,24629,0,0,462,1,1082,0,1,402,0,0,81,2,21721,307,0,0,0,0,22,12,0,6659,1100,1,0,0,0,0,7623,0,71,4755,0,2210,1862,1614,493,0,8,0,0,0,0,0,0,0,46,0,167,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,54700,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,465
Dendrobium,32744045,494871,829125,232617,993752,47431,1079687,31119081,671,114835417,2752,23,12372923,361571,313007,6618,13146,2884748,630,1462660,9723,18570507,171091,4488,185,707,380801,0,27077,13056529,1293,141970,14245898,41195,2897,125657,9279,1497,8393576,2505,1456835,787724,115639,122414,120006,11422,72624,6020,2295113,4617,45,326557,5478,5662411,144268,740046,1647825,5946560,2492,146054845,131678002,123436,86330,138720,1630622,10637,5212,35290,147650,82271,932,3483,115301,46077,288465,203653,80,4403,37617,8,461927,49077,23984,83399,19994,29794,18545,294743,825618,3451,4210,26274,28482,21,1473,1092,208,225,3008,5616,69164,9667404,28964,1584722,59056,0,1124192,155,17970,15567,3726,2929,7942,56931,0,6182,8,25008,667,0,1301,0,0,31058,280412,1840,4227,105111,1648,66591,58202,401,3026,86,9,942453,6852,27716,19879,992,3478,35614,65992,8901,0,1627,2,70259482,2,5762,263,530,920948,495,10,96951,3226,776,612,18337,223627,21,1166,2714,0,1556043,604883,4242,7736,851,11,238,300,1163,5,2,200,26,0,241,165,50,58601,103716,3566,650,5677,227,30,36041,0,2983,29877,30730,14610,16303,1336,1470,0,0,78,40,1000,0,0,10,5,1143,18,16948,0,0,0,2,0,0,0,0,0,50,50,40,0,0,0,0,0,800,2905,0,4920,459,0,0,0,0,25,0,0,0,0,458,0,0,0,0,200,59,0,0,4058
Euphorbia,62172811,1326730,13138857,1885705,406197,763640,518089020,13466495,6250,13786807,2263,594,166997,22591826,344435,1590,1028394,148309760,5852,600190,968389,905223,28833,128590,5480,1101,274768,2367,77836,1648714,935,39885,1508338,25237,54,185867,14515,27659,79822,2962,1213102,12743,699420,172545,79134,376,34187,3409,261674,597338,0,44885,24124,103864,25950,50719,19794,506288,260,13812423,8171167,147216,27468,2819,18965,51,6666,3017,10648,138,0,16345,93803,7008,388277,96907,0,1615,870,173,240,7308,6183,449936,1032,260,3406,74775,6369,13025,2536,11225,18366,10811,852,1326,20157,0,90,140858,20001,193783,14750,697588,935454,0,42837,11069,194966,47448,64832,19379,159725,29592,60,214494,3539,5728,42321,0,0,0,0,22152,97363,0,16387,427,3,100,56134,19,107,0,1,6579,15,354,1535,218,19230,1955,312362,45916,0,3959,277,409341,4625,2025,25,0,12481,315,32,6022,4616,5613,1524,5497,30368,0,598,251591,0,9832,1549,482,0,5165,2688,22973,0,126,0,0,0,16177,57,139,654,108,12088,0,19680,12,0,0,6122,3623,0,10921,25260,0,205,11444,7125,1057,42,81,44,9,0,0,0,0,12,991,0,7537,0,750,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,900,14,0,210,79,0,0,0,11000,0,0,0,0,0,792,0,1000,0,2,0,0,0,0,3515
Galanthus,85673729,1099685,384362,504,75073,0,44496120,1099474518,0,40850590,0,19024,2000,10877984,0,600,11983649,180,0,40,3047160,80,40,1492170,15855,91593,3019364,50740,6885,0,80,0,0,0,0,0,0,0,120,0,0,0,1455000,59200,0,0,0,0,0,227562,0,0,0,0,0,0,0,480,0,30490,41435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287082,258920813,0,0,0,0,0,306,0,40,0,0,0,0,0,0,0,190,0,0,0,0,80,0,24430,0,250,80,8080,1180,40,0,0,0,0,0,0,600,0,0,0,68554,5000,0,0,0,0,0,223274,6390,0,0,0,0,0,0,0,1300,0,0,40,24380,280,66080,273,0,0,0,0,0,0,0,0,0,100,0,0,2125,36995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1000,0,6160,0,0,0,0,0,0,0,0,0,17500,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0
Phalaenopsis,60352876,2478196,230182988,1542690,2293256,321627,7060837,83606030,4510,61445343,6483,549,10457287,2169431,391844,7386,58982,12210387,5081,1440115,94392,263925,4653,5112,33789,41,11602030,1518,6779167,1763554,125,16505,271122,8745,131,550093,9491,2203,3303514,92,25549280,22414,7425626,31408,16657,32276,16491,11464,1485679,26219,0,62938,153,1447250,174741,47206,677996,14958495,112578,11139776,123040637,291880,281641,27513,254080,4767,7955,2918,629,9197,244,2664,56277,10267,760982,140173,44,1215,34617,3,776,5018,30435,13211169,6087,6686,145653,824200,122449,1806,53102,201557,79570,2220,12,55001,231597,0,109,91675,23413,264897,944,250588,3456070,0,1832338,143,202838,57995,120569,140233,418462,1126803,774,685306,720,24213,201,0,194,0,0,39110,124735,515,7777,11031,174,2,141376,2467,1206,43,108,192776,687,7751,2544,4115,111039,5652,6177,99860,10,2893,75,66103142,0,140223,1052,0,186066,11686,37,33063,146768,3374,10564,739225,6031996,121,38,4846707,200,24769,10616,24,1008,53,0,27262,21,515024,105,88,1040,2414,0,9481,2125,230,1698651,3465,2501,501,105,5,850,1614030,69,5245,943792,168,51286,816446,88439,72043,0,1335,1242,838,0,0,0,514,10,14598,100,5322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,13012,136,0,0,0,0,0,0,330,0,0,665,12,0,0,0,18,3,0,0,110694
Varanus,67818237,5240555,4978866,8962003,89404,837252,13047306,338640,1388,25982076,360,58,252679,1964401,4403222,6318,808938,23935516,1348,11099515,2195770,174534,504,87561,4901,7598,151561,48442,2992718,188416,9259,3467,45772,26084,3,194800,131645,69555,21900884,449,286513,55,692282,10744,16440,269,237984,1596750,1150,25034,5202,7513516,317,1123,56920,10238,2248,720467,104203,3041701,1359042,30295,20834,516,990871,452,1159,487,9514,1063,31,11437,528,797,9071976,861,101,717,3,18941,59,891,273454,86610,6083,40,906,2265,72,3506,34,1169,18852,319,523,3141,1683,80,0,125035,2374,518,44,71772,108121,0,17617,121206,5960,8712,21411,5778,28818,48528,409,19497,23367,3979,264,181,684,12,15508,39152,12328,17,2021,49097,5883,138,71891,649,92,1,39476,6070,1002,623,64,1226,2068727,19,1334248,3099,3351,8669,1358,185839,6,1718,837,11986,442,628,2,413,23,346,161,2650,12030,7025,107,666,1,1168,17,1,115,492,1411,21403,33,47,10,0,2004,744,192,325,27,136,501,335,8572,7,12,3,3837,190,17,65,982,258,402,116,40,616,48,95,1031,54,330,0,219,62,18465,1108,0,177,160,235,41,1,24435,0,0,103,0,61,22,0,0,77,3,0,182,2591,701348,5,20,63,0,1,3,2,65,1,0,250,57,8,0,2,0,0,302,0,0,0,0
Gonystylus,22414927,10018989,1902797,261913,25795,362795,993040365,1187155,304,294937,0,0,8157,302940,293881,0,10702,1024375,1668,49352,4221,2043,0,10663,8,0,1964,0,640850,238,772,252,34,628,0,7069,0,796,38134,0,2148,702,28461,9127,4,0,55528,0,17,50228,0,91647,0,569,683,0,0,59575,0,213982,10228,536,0,2,1507,0,7937,0,803,0,0,535,0,0,5814,0,0,0,1,443,0,0,444,337,0,0,224,237,0,2904,0,8843,269,0,0,0,0,0,0,578,0,602,0,136890,20294,0,81501,0,0,1,3059,0,32,470,0,2,0,0,1,0,0,0,0,76,8,0,135,0,0,0,3317,391,0,0,0,0,2,0,0,0,14,0,5,1501,0,7,2,4048,0,0,0,1,0,0,123,0,0,7,0,227,1,0,0,0,0,251,0,0,0,0,13,1,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,1,0,0,1659,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquilaria,3100097,504213,500934,32589,362013,173,9777287,36970,0,1515026,0,0,614,19439,190241,0,906,4273494,0,1656853,30,1857508,541,3606,0,0,100,0,217042,1163316,1,0,2593,0,0,100055,160,186,14140391,0,133688,51,7413,9786,0,1,1205,0,0,218,0,0,0,0,0,2000,0,8905662,245030,9276754,204315,727,1,24,146,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,430869,0,400,2585,103,3,13,0,0,0,0,54,0,0,0,59,0,0,0,34439952,0,124502,0,1036441,135575125,0,2,117,11,188893,0,4,8399246,0,0,103652,3,427366,0,0,1724,0,0,158,2726,0,0,0,0,0,560,401,101,5,0,0,3,0,0,0,17328,0,59447,0,0,202,0,1442026,0,24,0,0,136502,0,40,0,0,113,0,0,5,0,0,8,0,0,17412,0,62156,0,18,12,0,0,0,0,0,2,0,0,0,0,0,1473624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133077,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,82,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,0
Chlorocebus,1536601,66298,48728,294521,51770,23133,42596,43403,13,30517,40,97,23141,1710716,1301,0,1007,22918,1803,272,958,4287,260,193,30,284,2330,13695,10049,713,31,176,351,3,0,3772,282,238,2239,455,2915,5,2413,1660,2,330,7619,6,2,354,4,6,3,1,1,25,6,967,1,3726,17131,41,40,10,21,0,37,0,0,0,0,0,0,6,1013,3,0,1,2,0,0,0,485,1001,3,0,10,70,0,3,4,2471,1392,10,1,812,900,0,0,12348,0,7,0,164,175,0,1162,1,220,21,272,776,1698,116,0,826,144,83,808,0,12628,0,20,3044,8,0,4,20,0,0,40017860,33,1,0,0,1,143,10,2,97,102,1,240001061,50,7,6,14,90,11,0,0,25,2,445,1,0,241,20,4,9,889,1,39,4,195,0,26,0,4,3930,32,512,0,5,0,0,6,80001622,0,1,0,0,6,1,1,0,0,0,48,2,0,0,12,6,35,10,0,81,0,0,0,0,0,0,30,1,17,0,0,0,91,246,0,0,0,0,0,0,0,1640,0,0,0,6,100,0,0,2,1669,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulnesia,134086428,3298973,401965,103788,1971,6017021,3841795954,376057,0,408194,0,0,734508,1167,453709,0,0,6343804,200,102922,22450,173937156,11151,0,0,0,0,0,1140,871131,0,0,49,0,0,187228,0,0,2785009,0,130,0,26,0,0,0,243712,0,0,1,0,0,0,0,0,0,38,934628,0,115303164,396161,31309691,50,102,0,0,437,0,0,0,0,0,0,0,2479414,0,0,0,0,0,0,0,180270,9015,0,0,0,25,0,0,0,1,2470,0,0,4278,27816,0,0,1714,0,0,0,600000,1091569,0,10,0,0,0,0,40,635,5,0,0,0,25,0,0,0,0,0,0,225,0,0,0,0,0,101115,306,0,0,0,698,0,0,0,0,0,0,988,0,0,1000,0,2032775,0,0,0,0,0,0,40,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2150,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loxodonta,41915732,1554133,8052310,2628886,334613,696541,529755,133294,2615,38034656,19812,4608,12725,456318,154977,3876,44966,1132673,3337,122722536,185536,196684,9628,7599,2189,24105,21931,10404,406256,2048,727846,1522,1738,2663,0,603137,42184,19922,191581,597,1031098,11,1899477,22800,1020,18642,8773,20,1103,7122,978,3320,143,81,4779,271,295,119565,36501,1190642,63553,4827,2764,918,1144,1392,366,5,21,3296,33,948,21,4,771944,74,0,337,7,1,0,1906,16855,1710,8909,44,145,1619,10,673,2251,5697,1482,3658,106,643,159,0,2,9070,26,1260,2049,3134,5948,0,8926,35563,2426,1100,3535,472,2653,2751,8481,2982,1804,514,121,659,2498,288,6,1946,1608,49,14,35,2,34,18287,5248,1284,1,2873,992,1594,811,107,16968,678,5,1630,112,15823,41,396,236,53,364,2094,871,5039,43,3,98,8,108,44,286,1717,4,6598,801,381280,19,187,0,16,172,299,5045,88,379,55,11,154,785,1,0,20,3,260,10,13,0,7,0,1008,1,147,51,4,3561,44,29,0,32,200,0,0,752,1324,14,46,0,4892,0,0,0,511,161,3827,213,26,2428,3,123,1,89,710,2,2,2,1,0,0,6,12326,0,1,0,5,277,0,0,0,92,8,0,0,0,0,0,0,0,1,0,0,0,0
Pericopsis,228947,51348,77099,458399,1085,255197,307844080,856,265,681743,0,0,0,3237,6996,0,69,53164,1615,35651,0,95332,2235,17,220,0,11,0,4445,7605,224,0,0,0,0,125066,140720,662,10053,0,2146,0,25927,105,0,0,0,0,0,564,0,0,0,36,0,0,0,197509,0,234648,45870,1245,0,0,110,0,0,0,0,73,0,0,0,0,1795,0,0,0,0,0,0,0,4,45582,0,0,0,0,0,19,0,2,0,0,349,0,0,0,0,555,0,0,0,7806,58233,0,2415,0,0,44,8687,190,1047,12863,0,128,0,0,0,20,0,0,0,36,0,0,0,179,0,0,6699,0,0,0,0,0,0,0,0,0,2035,0,274,0,0,280,48,49121,0,0,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1034,0,0,0,0,102,254,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5772,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
